id,env,ip_hash,browsers,node_type,cities,standardised_name,nb_of_households,nb_of_users,nb_of_vids
ID5*DCbx7lR9s0Pb0HciTn6V0Cd6OUURVGFVDVy43-lMUfLXUuOqD_-G7Ga_Kz1LltoK,web,6905942588704886710,-,User: ID5,ramos arizpe,-,1.0,0.0,1.0
ID5*f23gxyc2omqom2YLPTWE-VQxKGxiH3B8fhep9poHQNvXUlUn1F3nllaEKVl3Wm7K,web,6905942588704886710,-,User: ID5,ramos arizpe,-,1.0,0.0,1.0
ID5*KOZhlnC9Izv_EOdaar4FqAO6qT01lPEtKZwop82MwYrXUpPeW68P93MiaZVgKCBo,web,6905942588704886710,-,User: ID5,ramos arizpe,-,1.0,0.0,1.0
ID5*d2DZci87m9-gll--NTi9TFw8EdlqEknJdhqQQ5IKeW7XUoYSnZwwVwEc0i_D1XSB,web,6905942588704886710,-,User: ID5,ramos arizpe,-,1.0,0.0,1.0
ID5*rH6Ax_Qlwmp7iAYL7ibk-YciSGyxDBB8rQTJ9kkUINvXUuTJUe0vF1PFCY62rwFB,web,6905942588704886710,-,User: ID5,ramos arizpe,-,1.0,0.0,1.0
ID5*EMqCy0iRwGbHPAQHUpLm9TuWSmANuBJwEbDL-vWgItfXUuMEC_zyNlLg8oBgy3sF,web,6905942588704886710,-,User: ID5,ramos arizpe,-,1.0,0.0,1.0
ID5*tfddh-2sHypiAdtL9685uZ6rlSyohc08tI0UtlCd_ZvXUmAh2X3_U_Ix4ogCjnYC,web,6905942588704886710,-,User: ID5,ramos arizpe,-,1.0,0.0,1.0
ID5*cIwt_OPQ3ZrtwugISpZ6ss45K-l5q1OPK_6Hn2Pbyz_XUs9lYOjqEGCJeMxtsjo9,web,-7988097567312380918,-,User: ID5,paraiso,-,1.0,0.0,1.0
ID5*TVBEId4MtEfQHoHVd0oTb_PlQjREdzpSFiLuQl4HouLL3ebvqCYtmKiiJag1CoWP,web,-7988097567312380918,-,User: ID5,paraiso,-,1.0,0.0,1.0
ID5*LCXk9795FJGxayEDFj-zuZKQ4uIlApqEd1dOlD9yAjTXUqgd9R_bnfsSj7MJ8rl4,web,-7988097567312380918,-,User: ID5,paraiso,-,1.0,0.0,1.0
ID5*aUV0fZJLlS7sU67kXeUR9eUxhl_7mvwbim4a5BJX7YHPIh3zD9QBOu2oIoXekBZY,web,-6199558151919420439,-,User: ID5,nezahualcoyotl,-,1.0,0.0,1.0
