time,source,target,relationship
2024-11-13 09:00:00+00:00,691667413545602345,ID5*uOs7wjAY98GnTbuG630-VdnWoIBwQpj6tNRJkWAYzt_XUkTul7YQx0kYLWwLIhAV,Household-User
2024-11-14 11:00:00+00:00,4679995860318469466,ID5*-XcQ6JByyRssCJRQznwmsxGde7qLSKynu9uwJvcymNzYp5oUbMS70jGJWHoI-D0U,Household-User
2024-11-14 10:00:00+00:00,-5683352499054907135,ID5*vo56asb7e5S4aKa-_FW3jCDYXQiEaWWbkFegB8jrTNXYVC8zbhJ40gWMkvKFrwq6,Household-User
2024-11-14 10:00:00+00:00,-5683352499054907135,ID5*XeoWgiWfF3xbDMpWHzHbZMO8MeBnDQlzczPM7yuPID3V_TtGYVUoTDpno52G4E7f,Household-User
2024-11-14 10:00:00+00:00,-5683352499054907135,ID5*q9OqedOmq4etNXat6QhnnzWFjRuRNLWIhQpwFN22nMbYVGgAMT0VsJypf9mg4fQV,Household-User
2024-11-14 10:00:00+00:00,-5683352499054907135,ID5*1eCt2a2VrCfTBnENlztgP0u2irvvB7Io-zl3tKOFm2bYp88JOqGySrVYfMIiFjRi,Household-User
2024-11-14 10:00:00+00:00,-5683352499054907135,ID5*fomSlQb8k2t4b05BPFJfc-DftfdEbo1kUFBI-AjspCrX_2NQyeunPFwnzAZpYFMd,Household-User
2024-11-14 10:00:00+00:00,-5683352499054907135,ID5*6SPsQZFW7b_vxTCVq_ghp3d1yyPTxPOwx_o2LJ9G2v7YpwAw7exTzCpAXw9zI3qg,Household-User
2024-11-14 09:00:00+00:00,-6773442381245884938,ID5*B6Ys6x_7_5KrEKjwZaA_t_kQasLX2nP3k2RRzhu2DYnYp0fHoq5t-P2NZ_xIegMw,Household-User
2024-11-14 11:00:00+00:00,1263290253288630458,ID5*0gyLitRmFMclkwgKj4iT_4hnHYh_QP8dNt-0XY774y7YVLVX5x6e73BA8QmN6TqH,Household-User
2024-11-14 11:00:00+00:00,1263290253288630458,ID5*p7YDC93HGiYBcIjS0ADzN_jMm5KNW74Add5uZO9XijrYVOHxghS_cgGxeIFu_Fup,Household-User
2024-11-14 11:00:00+00:00,1263290253288630458,ID5*SZjuqzPp94bvXmVyPi4elxbidjJjdVOgm_CDxAF5Z5rXUnONjkjMT3e_Q4elLxEs,Household-User
2024-11-14 11:00:00+00:00,1263290253288630458,ID5*1EpRaa47SERyjNqwo_yhVYswyfD-p-xiBiI8Bpyr2FjYp11iawbfSPpIuePPTlU5,Household-User
2024-11-14 11:00:00+00:00,1263290253288630458,ID5*G-9Ug2GeTa69Kd9abFmkv0SVzBoxAumIyYc57FMO3bLXqMoz1fP8HMMKqbkQmEvM,Household-User
2024-11-14 11:00:00+00:00,1263290253288630458,ID5*AKKGqXrTn4SmZA1wdxR2lV_YHjAqTzui0srrxkhDD5jYp83sd4uwmNjdfqPFnKH6,Household-User
2024-11-13 10:00:00+00:00,-4969331029061671120,ID5*Im5RLJeKQCYyaNLJatgng7hN-pFQUkg6EggLkhlqtfrYrcebEuoF0n_Lmupfsm3e2KzL_IqrY3Y9kKz2GmglBNiwMWdCqdwEantxttP1tafYsS3SslhraJDB26IC0RKP2LICIkX_ZGz7n6nzUi6oj9i0s55vpdRVhT3S2V3kB-HYsxLmCXaohn5UANT1plPw2L5I9CtJSeMrgSe_415DGNjB85Mj_iQtrBCj2OJqRb7YxhmrMVguxeHH1Tj8Z_h12Mi0fst43iYbZFiOxDQC2NjKjxBDRKCY4F4X_nb5lLnY2q4QuQGBK0OS8mIi04kF2Nt5ARpQ8nvYCpwGmaDpONjcVXZNLz6bOgIP2gqiBcrY37zH9IaD8LFOrfkM7HpI2OKuY6ct5indrDi1LNP14tjmGVr33f3biIExtWTs2wTY6EU89PvXIWuKBwmc9b5t2Oom8rtYyxN4U8ti1qUWL9jrcSO2um036WdNKSnrehLY7hjaCB7HCHLJFK8oPe642PEsBK8Jh2j9sRRxKcI_ktjzPybRz9zR5orkul-V-_jY9KTGBG20k5C2z643gOjU2PW7_R_dSYZAZKqe-jgIwQ,Household-User
2024-11-13 10:00:00+00:00,-4969331029061671120,ID5*TOBQlPkEQZ5c5tNxBFYmO9bD-yk-3EmCfIYKKnfktELX_5wrMRKuAlR3f8bXT1Yc,Household-User
2024-11-13 09:00:00+00:00,-7929773691267576338,ID5*k7j1oYHSnSgdvn9a8by9un7uTHhLstqBfC-W623Nm07Yp8XMzShGEhPlpCanfsMb,Household-User
2024-11-13 09:00:00+00:00,-7929773691267576338,ID5*pmO52LQJ0VEoZTMjxGfxw0s1AAF-aZb4SfTaklgW1zfIkhoojuv7GaWJw0s0-AOG,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*QoCTIAHpo8XclhcLHKIrGnvHcmlsIf2DTNssctX-LDnYp87RJy4oso88NEKmYX6Y,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*Jicc6fF3gKGRYcEvRr24oWzVi4AhoEW0OYFJG7ptq4TXqIW9_oCj0NFMxkjnDgCc,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*6IInvT_Su_VfxPp7iBiD9aJwsNTvBX7g9yRyT3TIkNDX_8DJBrdQXcy_hN7M6JLV,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*W6Xc0Iz1QJjs4wEWOz94mBFXS7lcIoWNRAOJIsfva73YVG2ZOhZVTL_-6Y7JoK3n,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*q361MnwuKXocOGj0y-QReuGMIlus-exvtNjgwDc0Al_YVGUy4BQqfgBzLfDZXS-h,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*6TIGyj5imoJedNsMiaiigqPAkaPutV-X9pRTOHV4safYp5q4B8Uppv5PqrNCSqoJ,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*9OpchCO6wMxDrIFClHD4zL4Yy-3zbQXZ60wJdmig6-nYp4KRsTHlTuvK6aaNLxBz,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*iqAGUl3wmho95tuU6jqiGsBSkTuNJ18PlQZToBbqsT_Yp2JarcB7nslS1eylUJiu,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*HWiFJ8o4GW-qLljhffIhb1eaEk4a79x6As7Q1YEiMkrYp3kEAfgccq1tnDmFjOcE,Household-User
2024-11-13 10:00:00+00:00,-2798537599876185212,ID5*tx5SDGBOzkQAWI_K14T2RP3sxWWwmQtRqLgH_itU5WHX_7UU1K84rVwxjirMEnjV,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*IwTxusH3ziczm34ATsN5xpqHF7iezEus2fk9_gEXR1HYVNoUtRa6YkhNJfRQrmPx,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*1WO5fjeQhuPF_DbEuKQxAmzgX3xoqwNoL551OvdwD5XY-lFs-tcjnLgOP-f90q6v,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*f7sIV51IN8pvJIftEnyAK8Y47lXCc7JBhUbEE12ovrzY-gYQkm1EScVa8DP2hvU8,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*DIR_f-53QOIcG_DFYUP3A7UHmX2xTMVp9nmzOy6XyZTYp9txg-_e5_E_5L2U2d1G,Household-User
2024-11-14 08:00:00+00:00,7349167517811560067,ID5*lTtJUHfIds2FpMbq-PzBLCy4r1Io8_NGb8aFFLco_7vXqOjE2N3iKztTiigXZ4Vf,Household-User
